"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"Use In Search Results Layered Navigation","Gebruiken in zoekresultaten van gelaagde navigatie"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Gebruiken om configureerbaar product aan te maken"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Categorieënpad voor product-URL’s gebruiken"
"Use in advanced search","Gebruiken in geavanceerd zoeken"
"Use in quick search","Gebruiken in Snel zoeken"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Verplichte waarden"
"Varchar","Varchar"
"View as","Tonen als"
"Virtual Product","Virtueel product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's in front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Watermerk"
"Watermark Default Size","Standaard-grootte van watermerk"
"Watermark Position","Plaats van watermerk"
"We Also Recommend","Ook aanbevolen"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Website"
"Websites","Websites"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Ja"
"Yes/No","Ja/Nee"
"You cannot delete this attribute","U kunt dit attribuut niet verwijderen"
"You cannot edit this attribute","U kunt dit attribuut niet bewerken"
"You cannot remove system attribute from this set.","U kunt dit systeem-attribuut niet verwijderen uit deze set."
"You cannot update this attribute","U kunt dit attribuut niet updaten"
"You have no items to compare.","Geen producten geselecteerd."
"You may also be interested in the following product(s)","U bent wellicht ook ge&iuml;nteresseerd in de volgende producten:"
"Zoom In","Inzoomen"
"Zoom Out","Uitzoomen"
"[GLOBAL]","[GLOBAAL]"
"and","en"
"and above","en hoger"
"cache refresh needed","Cache moet ververst worden"
"categories","Categorie&euml;n"
"comma separated","komma-gescheiden"
"each","elk"
"ex. http://domain.com","bijv. http://domein.nl"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","moet in de lijst van toegestane waarden staan"
"per page","per pagina"
"products","Producten"
"px.","px."
"save","bespaar"
"select all","Alles selecteren"
"unselect all","De-selecteer alles"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
